Link;TotalConsumptionPerKm;TotalConsumption
407967885_0;0.24286763485954402;0.014833048001661402
19782921_0;0.12284482031916755;0.012053271593775965
25612976_0_r;0.12051160351269118;0.007151158061648918
299539938_0;0.12807879824455162;0.022015485835217043
240611315_0;0.5786803813331646;0.0748760078027483
320777855_0;0.17278519259516942;0.025244617949803295
284486558_0;0.18016043782682722;0.03839270408726278
336985370_0;0.12020128621554681;0.0032999126513352825
231954205_0;0.12444449630840974;0.00877029958170441
252696588_0;0.17836608380148725;0.03223697479465424
245855060_0_r;0.3152734019909802;0.15872250530360474
25584064_0;0.38073821392865814;0.17006877030425582
316318944_0;0.12066119687676108;0.008745596322563746
30569141_0;0.12814374509592175;0.05870796222724544
173492219_0;0.12254254712619436;0.003959614885540533
461669959_0_r;0.12193652829090075;0.0038739854591020462
322262022_0;0.543717429654421;0.11597019360153936
94456137_0_r;0.1206574967664254;0.0015676359821510414
264308742_0;0.35113052124168953;0.08305199764164792
4068364_0;0.18978895314237104;0.12669337140148282
32771454_0_r;0.12589366819554698;0.0323043892001225
4260875_0;0.19127941799665535;0.012229964658690409
119041875_0;0.1364747400561361;0.035478211872486086
368265545_0;0.14937420701911383;0.018630397350261403
259589712_0;0.1208544725784028;0.004913850172930252
572482852_0_r;0.12202397147248358;0.006966843154580759
259911084_0;0.19660471096825977;0.11613891174724439
58658250_0;0.12791313275815397;0.0023590162500050677
318445866_0;0.17359813219710304;0.040672507957083465
409293762_0_r;0.13520253163991738;0.011570778226047029
22661912_0_r;0.15660634282520317;0.0741235939365029
138718702_0;0.1661134079800705;0.009286776039841996
4537044_0;0.13554607235263008;0.06410402708621238
103836121_0;0.12074850719786503;0.012268375853979956
290323305_0;0.12070113593164356;0.010424037747347648
664588196_0_r;0.14081267864010888;0.00198875476817439
314917917_0;0.12043676918311123;0.005285750403343343
75542698_0;0.1273710680682186;0.03829116444936085
259552873_0;0.16817954667482773;0.02865175445054271
192301448_0_r;0.1208758721050356;0.03439695121051176
288102955_0;0.19291423543227115;0.03743800390137415
36331000_0;0.12722466209628358;0.004751595864024849
354805510_0;0.136311384897539;0.16081700271902538
375097980_0;0.24157396305256512;0.015448332482652465
310172802_0;0.12039737217734577;0.00831023509400971
318665544_0;0.12737183963065654;0.0024331312288575525
30073745_0;0.5683730167238373;0.09049526528677346
48859721_0;0.12070761566373266;0.11468124429733399
431091430_0_r;0.13477689684648558;0.05416689800941397
259253511_0;0.12322253069095658;0.01240991027091488
262932261_0;0.1910315599790406;0.048919858634761636
294406525_0;0.5231614490190326;0.09214945180804353
279964169_0;0.18314272871382817;0.03945806956882478
142658101_0;0.19291105441990877;0.20590902145755788
256896641_0;0.32633897157624575;0.044830125634766106
23425191_0;0.375154464058012;0.013348788074958103
25065456_0;0.13498388121214677;0.002109303299376607
333142110_0;0.12064771764604466;0.009614573993041591
4189732_0;0.19813669183130908;0.1961645301670081
28818696_0;0.12145467246250671;0.034865869131918414
259255253_0;0.13614848937532778;0.008869552968121521
4913899_0;0.3988135328960199;0.1590343278395053
262947988_0;0.1945402373638963;0.018971874963441666
4825686_0;0.13328658969464532;0.022152277098863592
309936196_0;0.1708366986490787;0.034613317572271936
37837343_0;0.1381656889134248;0.08891159324341187
258701661_0_r;0.12456411045949708;0.0038206648415553086
361040278_0;0.3274793653056197;0.13544074088836033
315179354_0;0.12038553512449271;0.005209239371555434
49626812_0;0.12017756841204032;0.02037926776796354
315327880_0;0.2168152747392789;0.4160555431329235
366739746_0_r;0.12080689853128634;0.004842561830232138
317249232_0;0.17111741962660934;0.034613317572271936
31983785_0;0.2713472785455978;0.046961496203347615
262946937_0;0.19660354087684329;0.24518214702196037
25142481_0;0.13797738705034787;0.24654218324308824
