Link;TotalConsumptionPerKm;TotalConsumption
317435381_0;0.1930990245856924;0.09359500975343539
252093473_0;0.25235323519608555;0.004581362680859222
259534023_0;0.18550176704824514;0.0579261751432797
24262729_0;0.3883225051625239;0.025126782148361337
169430873_0;0.12140149845458213;0.006000551160276987
290296350_0;0.19054076638056505;0.06073884653723422
248616206_0;0.33291010369432356;0.018704245781223587
255922182_0_r;0.12510646780184662;0.008964351884154299
134991946_0;0.2405319418798742;0.0416631539698469
44563422_0;0.1236606352858464;0.004228119694183832
23493664_0;0.24183786137907523;0.006270543928604166
179274470_0;0.25679969443686224;0.009928498430799194
191639341_0;0.2462864000754033;0.01630704007934771
43377778_0;0.3199774431668613;0.22344612018282856
362244398_0;0.24230251116262655;0.011567200938403027
317448401_0;0.27850509218069863;0.006266816533685241
314655477_0;0.13819435183081288;0.006131834016787026
22328894_0_r;0.2720238590093588;0.023652141248324057
25612976_0_r;0.12051160351269118;0.007151158061648918
365713831_0;0.1206051458676943;0.01452768549069641
56066405_0;0.12385723030742837;0.002585915199902549
320777855_0;0.34557038519033884;0.05048923589960659
4722209_0;0.12118801841320921;0.013265757415717382
314957238_0;0.1377489695970388;0.0010286828900953318
162741285_0;0.1360894065536403;0.11826070624162029
252696588_0;0.3567321676029745;0.06447394958930848
424116518_0;0.12038924158708811;0.003112391899118126
25584064_0;0.19036910696432907;0.08503438515212791
544994711_0_r;0.12778016726015076;0.05136946694883977
291788987_0;0.1334428519847848;0.013845173186789746
257245228_0_r;0.12025406565787956;0.00315830848053852
362052631_0;0.24005233486585315;0.013103600461147337
385689225_0_r;0.31355184869048697;0.05765168417283559
542994024_1;0.24133056142483783;0.02009067617624463
542994024_0;0.24289762357745154;0.020695228749577865
317587880_0_r;0.15525100184994084;0.044340820264491515
514284610_0;0.12131743513409773;0.011370649213472042
4068364_0;0.3795779062847421;0.25338674280296564
172431877_2_r;0.1206940204540257;0.025638863981444243
4260875_0;0.19127941799665535;0.012229964658690409
107085456_0;0.12014935147753994;0.018149519582344054
198819042_0_r;0.13788277961583031;0.06696207446108571
123120742_0;0.13829792684024353;0.018395502050361077
84005688_0;0.30984645518312126;0.0806196732081664
657442551_0;0.2470470334989129;0.002664838708764557
259911084_0;0.19660471096825977;0.11613891174724439
126855351_0_r;0.12197718211094263;0.004149170673746917
151687488_0;0.18054438751814134;0.03290803207479667
138718702_0;0.332226815960141;0.018573552079683992
27249344_0_r;0.13684555572294893;0.09599421673222282
366019430_0;0.12050357901705712;0.00947492544161556
61411099_0;0.12289292819287355;0.024282901239072223
259552873_0;0.33635909334965547;0.05730350890108542
26386853_0;0.2650494570356563;0.010915888965574874
142738864_0;0.1995927769094527;1.6499811513348674
361470509_0;0.12069577597468185;0.009827700345860503
326116285_1_r;0.14702660824035704;0.0018531344672539337
359802429_0;0.2765124428974462;0.018395502050361077
255974565_0_r;0.13687662226277877;0.026802833786504224
460345421_0_r;0.12283183142990145;0.0585926806701016
339892064_0;0.12064903956375636;0.02052900512350038
33732183_0;0.12608527589293475;0.01845965097149857
241770475_1;0.12345099000267382;0.005369708791547299
143525705_0_r;0.12585647811870143;0.0025087213711850664
262932261_0;0.1910315599790406;0.048919858634761636
241770475_0;0.1214549545372432;0.011913185996968738
279964169_0;0.18314272871382817;0.03945806956882478
142658101_0;0.38582210883981755;0.41181804291511576
23425191_0;0.25010297603867465;0.008899192049972068
442902617_0;0.24209740987698025;0.007099226389482056
4189732_0;0.19813669183130908;0.1961645301670081
8036179_0;0.1605071337445277;0.00865510351811322
271999713_0;0.2623211581063933;0.04736317363914566
263687269_0_r;0.13787132836232355;0.23132352995647787
167955159_0_r;0.13615640995998485;0.035478211872486086
262947988_0;0.1945402373638963;0.018971874963441666
309936196_0;0.1708366986490787;0.034613317572271936
100009879_0_r;0.25343088369020456;0.009434098747578456
362273774_0;0.24006567565073353;0.03525343797448583
511525900_0_r;0.12125145846959624;0.0014352610135059908
317249232_0;0.17111741962660934;0.034613317572271936
36734896_0;0.24093681735418962;0.03228374553488091
60063580_0;0.12419329531446323;0.002176640084897396
262946937_0;0.19660354087684329;0.24518214702196037
520431692_0;0.13707184672924688;0.001020074663313174
42879428_0;0.26677480545613086;0.004288383512877473
350359155_0;0.12071733006597318;0.06269834037537036
341080390_0;0.15748561421755672;8.424302327703797E-4
325491555_0_r;0.13751566748220118;0.3256791803334622
313247853_0;0.12717027727405972;0.011965988890425267
11214555_0;0.1276112289401956;0.00717959333425516
113743554_0;0.13594960364768496;0.03252169421644558
287900688_0;0.24230579351209658;0.020848075494695296
216249466_0;0.12749630150941216;0.0024107250425588747
295566661_0;0.17587506673518155;0.036587157408077185
224394796_0;0.2702719169149353;0.0976384168378611
198834911_0;0.14217884030935973;0.009889283683439887
44611432_0_r;0.12073453142288926;0.019089019390803777
179887846_0;0.12170672128299836;0.004180105892748455
259257386_0_r;0.1318313131734987;0.01613686745726122
172950599_0;0.1276224127215288;0.01435918666851032
179887846_1;0.12187935334894995;0.0077479709182040925
154945135_0;0.12067210502286463;0.00900433207910311
142735140_0;0.35653697939921436;0.08596526611907795
153031137_0;0.1563446047585828;0.008177586698566231
162741267_0;0.12919335334789944;0.010074440403607126
248416568_0;0.1822055771753919;0.03918940852533249
244585013_0;0.16620718137304832;0.018704245781223587
208458861_0;0.3734644042396366;0.1761552436455872
121677915_0;0.20048711877108344;0.14675314188420377
32949796_0;0.12356711925181056;0.012684359082551493
25751349_0;0.3957823561473219;0.7061923086012292
