time	1	2	3	4	5	6	7	8	9	10
03:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
04:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
05:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
06:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
07:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
