Link;TotalConsumptionPerKm;TotalConsumption
518427600_0;0.3675464757436411;0.045403755526469775
5368882_0;0.1202136794762274;0.025452025854405032
257282864_0_r;0.3134602876928945;0.03294381952733463
142723541_0_r;0.12006836743921759;0.011549694279673488
295626294_0_r;0.363621332087762;0.012917349121553918
412997002_0;0.19747907618952207;0.1299074101954832
314040176_0;0.32246790532624064;0.026334915382804632
40200819_0;0.24079377412639746;0.025452025854405032
222973795_0;0.24093118872803923;0.00913401750681301
202236712_0;0.3233895312829955;0.061883415217588035
233307357_0;0.12682831892074978;0.007127393796037273
266333403_0;0.39493196229930616;0.07794444611728991
226373445_0;0.2642568060498948;0.05378955819087074
231963855_0;0.2735017916608417;0.2759833731051406
105471408_0;0.12288241552114358;0.004106588312505851
116645831_0_r;0.12774006325296453;0.004821450085117749
587554506_0;0.13468853167503575;0.03706156179591482
32443305_0_r;0.12598914545528903;0.002489678464856383
314328583_0;0.39622427750832373;0.09154344741127046
361934839_0;0.1206379848001586;0.03252054670346808
361934839_1;0.12242911284319842;0.00553222756499589
159655077_0_r;0.38015049025694303;0.16273820339572836
361934839_2;0.1256943542423831;0.0012543606855925332
4981228_0;0.1251080578843339;0.00441725452495083
281154276_0_r;0.12083036256250847;0.008249781628338206
39008975_0;0.2502246262320829;0.009029991851194475
549603523_0_r;0.24622081791603245;0.010982462574624506
386050277_0;0.12415327382069351;0.01944739803184532
234462173_0;0.13489389384788686;0.0028717181422900327
14673456_0;0.12827035198456768;0.01478447705883001
4828360_0_r;0.26102512283845475;0.02612167636803604
169209107_0_r;0.16328439984455687;0.12104133921386849
215577424_0;0.1229436571294273;0.0890373045432648
366788742_0_r;0.13199865256198767;0.0010984826486669331
281144940_0_r;0.12050478268240082;0.009972282112811651
228109682_0;0.12057732419962447;0.006409715995361061
92093069_0;0.5568916194104772;0.20853423051580688
223146746_0;0.17285117244716386;0.025244617949803295
531813385_0;0.1273254858565811;0.03326117104817394
257245176_0;0.12535891505801236;0.008964351884154299
